Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
USGBC Webcast: LEED-ND for Colleges and Universities,2011-04-14,"April 20, 2011; 1:00 p.m. Eastern",04/18/2011,,,https://usgbc.webex.com/usgbc/onstage/g.php?t=a&d=751475779,"The first in a series of Center for Green Schools webcasts for U.S. Green Building Council higher education members, this presentation will share knowledge of various LEED for Neighborhood Development Rating System applications. Colleges and universities often have the unique opportunity to control planning and construction decisions at various levels and set comprehensive, far-reaching objectives for future development. This webcast will help institutions determine how the LEED-ND rating system can best serve their needs. AASHE members will receive a 10 percent discount.",Events
2011 Continuums of Service Conference,2011-02-22,"April 27-29, 2011",02/28/2011,,Washington Campus Compact,http://www.wacampuscompact.org/cosconference/index.shtml,"Higher education faculty, staff, administrators, students and community stakeholders involved in service learning and civic engagement are invited to attend the 14th Annual Continuums of Service Conference. Hosted by Washington Campus Compact, this conference will explore ways that higher education can generate new knowledge, educate the next generation of civic-minded leaders and problem solvers, and help to build more vibrant and sustainable communities.",Events
NWF Campus Ecology Webinar: Green Campuses and Hands-On Training,2011-04-5,"April 27, 2011; 2:00 - 3:30 p.m. Eastern",04/11/2011,,,http://online.nwf.org/site/Calendar?id=104622&view=Detail,The National Wildlife Federation's Campus Ecology and Jobs for the Future will look at how community colleges are tapping campus sustainability initiatives to provide hands-on green jobs training in this webinar.,Events
AASHE & RPN Webinar: Green Purchasing for Higher Education,2011-04-22,"May 4, 2011; 11:00 a.m. - 12:00 p.m. Pacific",04/24/2011,,Responsible Purchasing Network,https://www1.gotomeeting.com/register/474343697,"AASHE and the Responsible Purchasing Network (RPN) will present this free webinar on how to promote ""green"" purchasing at colleges and universities. The webinar will cover helpful resources that are available for purchasers from AASHE and RPN, how to track your sustainability progress with the Sustainability Tracking, Assessment & Rating System (STARS), and will also feature two case studies from the University of Pennsylvania and American University (DC).",Events
Community-University Partnerships Conference in Canada,2011-03-9,"May 10-14, 2011",03/14/2011,,Centre for Community Based Research,http://www.cuexpo2011.ca/,"Canada's Centre for Community Based Research, in partnership with communities of the Waterloo region, will host ""Community-University Partnerships: From Global Perspectives to Local Action."" The event will showcase best practices in community-university partnerships worldwide, and explore and introduce creative ways of strengthening local communities. Students, community leaders, researchers, educators, funders, policy makers and others invested in community-building as a vehicle for social change will be in attendance. The Community-Universities Partnerships movement began in Canada as a response to individuals involved in community-university partnerships who needed a forum to share experiences, strategies and ideas.",Events
International Conference on Study Abroad and Sustainability,2011-03-8,"May 12-14, 2011",03/14/2011,,,http://www4-auth.sdstate.edu/international-affairs/sdsu-international-conference.cfm,"Hosted by South Dakota State University, this conference is designed for academics, practitioners, nonprofit staff and students to examine the inter-relationships between learning abroad, personal action and the state of the planet through the intertwined themes of studying abroad, service-learning and sustainability. Keynote speakers will include Living Routes' Daniel Greenberg, Wilson College's (PA) Ed Wells and the co-founders of Ecocentro IPEC.",Events
ACUPCC Webinar: Sustainability Curriculum Integration,2011-04-14,"May 12, 2011; 2:00 - 3:30 p.m. Eastern",04/18/2011,,,http://www.presidentsclimatecommitment.org/node/6564,"Signatories to the American College & University Presidents' Climate Commitment (ACUPCC) have committed to taking “actions to make climate neutrality and sustainability a part of the curriculum and other educational experiences for all students.” Approaches to incorporate sustainability into the curriculum are numerous and this webinar will address three specific areas: climate literacy, energy awareness, and an example of how one school is integrating sustainability into the curriculum and assessing student learning. How do we increase climate and energy literacy in students? How do we evaluate student learning to measure the impact and effectiveness of sustainability content? Panelists for this ""Curriculum Integration: Climate Literacy, Energy Awareness and Evaluating Student Learning"" webinar will include Matthew Inman with the U.S. Department of Energy; Mark McCaffrey, associate scientist at the Cooperative Institute for Research in Environmental Sciences at the University of Colorado at Boulder; and Meriel Brooks, associate professor of biology and director of the Environmental Liberal Arts Program at Green Mountain College (VT).",Events
RESCUE Stakeholders Conference,2011-04-5,"May 16-17, 2011",04/11/2011,,European Science Foundation,http://www.esf.org/index.php?id=6198,"This Stakeholders Conference for Responses to Environmental & Societal Challenges for our Unstable Earth (RESCUE), a joint initiative between the European Cooperation in Science and Technology (COST) and the European Science Foundation (ESF), will conclude the main RESCUE work plan and explore key findings with science funding agencies, science policy makers, researchers, research managers and representatives from universities and nonprofits. With plenary, thematic and integrative sessions, this conference will work towards the establishment of a common roadmap for the implementation of key RESCUE recommendations.",Events
"Program Planning, Evaluation and Proposals Strategy Session",2011-04-6,"May 16-17, 2011",04/11/2011,,,http://www.napppaPROGRAMS.org/,"Development professionals, researchers, faculty and graduate students are invited to attend the North American Program Planning and Policy Academy's Program Planning, Evaluation and Proposals Strategy Session at Arizona State University. The event is a hands-on, intensive session that leads participants through the entire grant proposal and funding research processes. Participants will receive an overview of program planning concepts along with advanced writing techniques to develop successful proposals. This results-based session combines individual exercises with group collaboration to allow each participant to leave the session with a Program Planning and Funding Dossier.",Events
Integrating Sustainability into the Curriculum Workshop,2011-03-8,"May 18-19, 2011",03/14/2011,,,http://www.umt.edu/greeningum/AcademicPrograms/TheGreenThread/GreenThread2011WorkshopApplication.aspx,"The University of Montana's Green Thread Initiative will host the faculty development workshop, ""Integrating Sustainability into the Curriculum."" Faculty from all disciplines will learn to integrate sustainability into their courses during this two-day event that will include mini-lectures, field trips and discussion and exercises about the assessment of student learning. Registration is limited to 25 participants and the deadline to apply is March 25, 2011.",Events
